timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764782526697,1615,HTTP Request,200,OK,Test Youtube 1-1,text,true,,717308,232,2,4,https://www.youtube.com/,1212,0,1156
1764782526697,1212,HTTP Request-0,301,Moved Permanently,Test Youtube 1-1,text,true,,1591,114,2,4,https://youtube.com/,1212,0,1156
1764782527910,402,HTTP Request-1,200,OK,Test Youtube 1-1,text,true,,715717,118,2,4,https://www.youtube.com/,212,0,96
1764782527897,513,HTTP Request,200,OK,Test Youtube 1-2,text,true,,720690,232,1,3,https://www.youtube.com/,143,0,90
1764782527897,143,HTTP Request-0,301,Moved Permanently,Test Youtube 1-2,text,true,,2137,114,1,3,https://youtube.com/,143,0,90
1764782528040,370,HTTP Request-1,200,OK,Test Youtube 1-2,text,true,,718553,118,1,3,https://www.youtube.com/,189,0,65
1764782526711,1768,HTTP Request 1,200,OK,Test facebook 2-1,text,true,,73313,234,2,2,https://www.facebook.com/,1312,0,1116
1764782526711,1312,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-1,text,true,,498,115,2,2,https://facebook.com/,1312,0,1116
1764782528023,456,HTTP Request 1-1,200,OK,Test facebook 2-1,text,true,,72815,119,2,2,https://www.facebook.com/,383,0,111
1764782527718,779,HTTP Request 1,200,OK,Test facebook 2-2,text,true,,73349,234,1,1,https://www.facebook.com/,317,0,109
1764782527718,317,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-2,text,true,,498,115,1,1,https://facebook.com/,317,0,109
1764782528035,462,HTTP Request 1-1,200,OK,Test facebook 2-2,text,true,,72851,119,1,1,https://www.facebook.com/,390,0,99
1764782528713,722,HTTP Request 1,200,OK,Test facebook 2-3,text,true,,73338,234,1,2,https://www.facebook.com/,264,0,65
1764782528713,264,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-3,text,true,,498,115,1,2,https://facebook.com/,264,0,65
1764782528977,458,HTTP Request 1-1,200,OK,Test facebook 2-3,text,true,,72840,119,1,2,https://www.facebook.com/,359,0,89
1764782529097,496,HTTP Request,200,OK,Test Youtube 1-3,text,true,,713388,232,1,1,https://www.youtube.com/,126,0,66
1764782529097,126,HTTP Request-0,301,Moved Permanently,Test Youtube 1-3,text,true,,2137,114,1,1,https://youtube.com/,126,0,66
1764782529223,370,HTTP Request-1,200,OK,Test Youtube 1-3,text,true,,711251,118,1,1,https://www.youtube.com/,191,0,68
1764782529712,666,HTTP Request 1,200,OK,Test facebook 2-4,text,true,,73340,234,1,2,https://www.facebook.com/,259,0,66
1764782529712,259,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-4,text,true,,498,115,1,2,https://facebook.com/,259,0,66
1764782529972,406,HTTP Request 1-1,200,OK,Test facebook 2-4,text,true,,72842,119,1,2,https://www.facebook.com/,331,0,65
1764782530296,541,HTTP Request,200,OK,Test Youtube 1-4,text,true,,717433,232,1,2,https://www.youtube.com/,146,0,91
1764782530296,146,HTTP Request-0,301,Moved Permanently,Test Youtube 1-4,text,true,,2107,114,1,2,https://youtube.com/,146,0,91
1764782530443,394,HTTP Request-1,200,OK,Test Youtube 1-4,text,true,,715326,118,1,2,https://www.youtube.com/,178,0,66
1764782530711,843,HTTP Request 1,200,OK,Test facebook 2-5,text,true,,73289,234,1,2,https://www.facebook.com/,336,0,128
1764782530711,336,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-5,text,true,,493,115,1,2,https://facebook.com/,336,0,128
1764782531047,507,HTTP Request 1-1,200,OK,Test facebook 2-5,text,true,,72796,119,1,2,https://www.facebook.com/,403,0,92
1764782531496,484,HTTP Request,200,OK,Test Youtube 1-5,text,true,,716217,232,1,2,https://www.youtube.com/,123,0,74
1764782531496,123,HTTP Request-0,301,Moved Permanently,Test Youtube 1-5,text,true,,2137,114,1,2,https://youtube.com/,123,0,74
1764782531619,361,HTTP Request-1,200,OK,Test Youtube 1-5,text,true,,714080,118,1,2,https://www.youtube.com/,181,0,66
1764782531711,756,HTTP Request 1,200,OK,Test facebook 2-6,text,true,,73301,234,1,1,https://www.facebook.com/,295,0,90
1764782531711,295,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-6,text,true,,498,115,1,1,https://facebook.com/,295,0,90
1764782532006,461,HTTP Request 1-1,200,OK,Test facebook 2-6,text,true,,72803,119,1,1,https://www.facebook.com/,355,0,65
1764782532696,624,HTTP Request,200,OK,Test Youtube 1-6,text,true,,714530,232,1,2,https://www.youtube.com/,156,0,93
1764782532696,156,HTTP Request-0,301,Moved Permanently,Test Youtube 1-6,text,true,,2107,114,1,2,https://youtube.com/,156,0,93
1764782532853,467,HTTP Request-1,200,OK,Test Youtube 1-6,text,true,,712423,118,1,2,https://www.youtube.com/,222,0,89
1764782532711,678,HTTP Request 1,200,OK,Test facebook 2-7,text,true,,73615,234,1,1,https://www.facebook.com/,259,0,66
1764782532711,259,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-7,text,true,,498,115,1,1,https://facebook.com/,259,0,66
1764782532970,419,HTTP Request 1-1,200,OK,Test facebook 2-7,text,true,,73117,119,1,1,https://www.facebook.com/,344,0,66
1764782533711,774,HTTP Request 1,200,OK,Test facebook 2-8,text,true,,73307,234,1,2,https://www.facebook.com/,257,0,65
1764782533711,257,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-8,text,true,,498,115,1,2,https://facebook.com/,257,0,65
1764782533969,516,HTTP Request 1-1,200,OK,Test facebook 2-8,text,true,,72809,119,1,2,https://www.facebook.com/,413,0,100
1764782533897,636,HTTP Request,200,OK,Test Youtube 1-7,text,true,,714764,232,1,1,https://www.youtube.com/,163,0,101
1764782533897,163,HTTP Request-0,301,Moved Permanently,Test Youtube 1-7,text,true,,2137,114,1,1,https://youtube.com/,163,0,101
1764782534060,473,HTTP Request-1,200,OK,Test Youtube 1-7,text,true,,712627,118,1,1,https://www.youtube.com/,220,0,94
1764782534714,703,HTTP Request 1,200,OK,Test facebook 2-9,text,true,,73301,234,1,2,https://www.facebook.com/,307,0,94
1764782534714,307,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-9,text,true,,498,115,1,2,https://facebook.com/,307,0,94
1764782535022,395,HTTP Request 1-1,200,OK,Test facebook 2-9,text,true,,72803,119,1,2,https://www.facebook.com/,317,0,64
1764782535099,515,HTTP Request,200,OK,Test Youtube 1-8,text,true,,721180,232,1,1,https://www.youtube.com/,110,0,65
1764782535099,110,HTTP Request-0,301,Moved Permanently,Test Youtube 1-8,text,true,,1591,114,1,1,https://youtube.com/,110,0,65
1764782535209,405,HTTP Request-1,200,OK,Test Youtube 1-8,text,true,,719589,118,1,1,https://www.youtube.com/,184,0,69
1764782535710,760,HTTP Request 1,200,OK,Test facebook 2-10,text,true,,73327,234,1,2,https://www.facebook.com/,265,0,70
1764782535710,265,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-10,text,true,,498,115,1,2,https://facebook.com/,265,0,70
1764782535975,495,HTTP Request 1-1,200,OK,Test facebook 2-10,text,true,,72829,119,1,2,https://www.facebook.com/,394,0,100
